Year,CountyName,Beef Cattle,Hogs,Milk Cattle,Other Cattle,CAP,CGH,CGY,SH,SAP,SY,State,CN_lb/ac,CN,MN,GN,FN,NS
2016,Emmet,5640.773333333333,162458.4845714286,5.0,9775.813333333335,124500.0,122200.0,198.5,85800.0,86200.0,58.5,IA,74.2614266531808,83.2,26.5,190.2,89.1,8.6
2017,Emmet,5723.0,146105.0,5.0,10094.0,119500.0,118300.0,210.1,90000.0,90600.0,58.9,IA,75.6334333268423,84.8,24.8,197.9,94.8,6.5
2018,Emmet,5802.24,126129.47314285717,5.0,11250.380000000001,110500.0,108400.0,155.8,88000.0,90300.0,46.7,IA,68.49755474877736,76.8,24.1,153.8,69.3,16.4
2019,Emmet,5878.493333333334,102531.90399999998,5.0,13244.953333333333,,,,,,,IA,69.49992534092495,77.9,,,,
1997,Lyon,9879.0,324434.0,4324.0,5910.999999999993,153600.0,145400.0,132.3,138400.0,139500.0,46.1,IA,66.81228744590675,74.9,36.0,147.0,71.7,35.6
1998,Lyon,9925.198857142857,342498.4731428572,4002.4525714285724,20996.199999999983,159600.0,152600.0,151.5,135400.0,135700.0,49.9,IA,65.57719236939818,73.5,41.5,160.4,78.7,33.3
1999,Lyon,9996.898285714287,361888.30971428566,3947.6788571428574,35265.39999999997,155000.0,148100.0,163.4,142900.0,143000.0,48.9,IA,65.2650377881396,73.2,46.9,164.9,79.6,34.8
2000,Lyon,10094.098285714288,382603.5097142857,4159.678857142858,48718.6,158000.0,150200.0,154.1,140800.0,141000.0,49.7,IA,65.71795474041949,73.7,52.5,162.4,80.3,44.1
2001,Lyon,10216.798857142858,404644.0731428571,4638.452571428572,61355.8,156000.0,148100.0,151.3,142300.0,143000.0,46.7,IA,55.120256864107574,61.8,58.4,155.6,73.6,38.2
2002,Lyon,10365.0,428010.0,5384.0,73177.0,156000.0,144500.0,152.9,138700.0,139000.0,48.1,IA,57.945033628861985,65.0,65.1,159.2,76.1,47.0
2003,Lyon,10538.701714285717,452701.29028571426,6396.321142857143,84182.2,159000.0,144000.0,158.3,138400.0,139000.0,37.9,IA,66.32759368812646,74.4,70.4,139.7,49.6,54.7
2004,Lyon,10737.904000000002,478717.944,7675.416,94371.4,160000.0,149000.0,185.9,138000.0,138500.0,50.5,IA,64.8049795968192,72.6,76.3,176.0,81.0,53.9
2005,Lyon,10984.266285714286,505912.9577142857,9134.390857142856,103744.6,164000.0,153000.0,185.2,133900.0,134500.0,55.1,IA,71.95925968295926,80.7,82.3,183.8,89.9,69.1
2006,Lyon,11407.745142857146,533404.3108571429,10251.883428571431,112301.8,165500.0,149000.0,163.9,133500.0,134000.0,54.9,IA,67.85937332321,76.1,87.6,175.7,88.7,76.7
2007,Lyon,12030.0,561045.0,10941.0,120043.0,182000.0,161500.0,163.7,119900.0,120000.0,55.3,IA,86.46235998384245,96.9,92.1,171.0,79.7,97.7
2008,Lyon,12851.03085714286,588835.0251428572,11201.740571428574,126968.20000000001,173000.0,163500.0,190.0,130000.0,130500.0,50.5,IA,82.77582076355651,92.8,96.4,174.7,75.0,89.5
2009,Lyon,13870.837714285717,616774.3862857143,11034.105142857143,133077.4,183000.0,172000.0,192.8,125700.0,126000.0,53.5,IA,73.62219737126277,82.5,98.9,179.7,77.8,79.5
2010,Lyon,15020.544,645872.744,10510.096,138440.28,175500.0,169500.0,195.2,131500.0,132000.0,54.7,IA,68.57460814255934,76.9,103.4,184.3,84.7,80.7
2011,Lyon,15886.89028571429,682188.0617142858,10061.726857142856,143474.92,188500.0,180400.0,185.4,120800.0,121500.0,53.5,IA,87.57872511266352,98.2,107.0,174.6,74.8,105.4
