CountyName,BeefCows,Hogs,MilkCows,OtherCattle,CornAcresPlanted,CornGrainAcresHarvested,CornGrainYield_bupacre,CornSilageAcresHarvested,CornSilageYield_tonspacre,SoybeansAcresHarvested,SoybeansAcresPlanted,SoybeansYield_bupacre,Year,CommercialN_kg_ha,ManureN_kg_ha,GrainN_kg_ha,GrainN_neg_kg_ha,FixatedN_kg_ha,NitrogenSurplus_kg_ha
Mitchell,5663,211836,2963,51191,160000,153000,175.1,,,81800,82100,49.2,1/1/2014,93.11,45.22,158.28,-158.28,56.8,36.8
Mitchell,5506,205634,3248,49690,151000,146400,202.1,,,91400,91900,59.7,1/1/2015,88.33,44.03,190.92,-190.92,84.85,26.3
Mitchell,5348,199431,3533,48188,160500,156200,199.1,,,83900,84400,61,1/1/2016,94.23,42.65,187.68,-187.68,79.72,28.9
Mitchell,5190,193229,3818,46686,150000,144900,213.4,,,92500,93000,54.4,1/1/2017,96.04,41.95,187.7,-187.7,74.87,25.2
Mitchell,5032,187027,4103,45184,146500,139500,193.3,,,88700,89800,55.6,1/1/2018,86.72,42.07,180.54,-180.54,76.81,25.1
Mitchell,4874,180824,4388,43682,155000,149700,194.5,,,76900,77500,49.8,1/1/2019,87.93,41.68,167.91,-167.91,56.92,18.6
Iowa,14949,120593,498,29536,121500,118000,192.1,,,101000,101500,53.4,1/1/2014,54.55,34.23,182.66,-182.66,86.58,-7.3
Iowa,14566,123001,409,27962,123500,119700,199.3,,,101500,102000,56.2,1/1/2015,59.16,33.2,190.87,-190.87,92.89,-5.6
Iowa,14182,125409,319,26387,131000,129600,210.6,,,95600,97000,57.4,1/1/2016,62.85,32.19,194.64,-194.64,90.13,-9.5
Iowa,13799,127817,229,24812,124000,123000,216.7,,,102400,103000,56.7,1/1/2017,63.93,31.68,198.45,-198.45,94.41,-8.4
Iowa,13416,130225,139,23237,125500,123100,211.7,,,95200,97100,56,1/1/2018,57.92,31.65,193.53,-193.53,89.11,-14.8
Iowa,13032,132633,49,21662,115500,110800,190.6,,,92800,94500,52.3,1/1/2019,58.57,32.84,179.43,-179.43,82.92,-5.1
Washington,8698,1124884,735,9987,120000,116000,191.3,,,93400,95500,54,1/1/2014,55.69,137.26,182.16,-182.16,85.73,96.5
Washington,9090,1193938,800,9886,118000,116000,195,,,96000,96500,58.9,1/1/2015,57.58,146,193.82,-193.82,98.95,108.7
Washington,9482,1262993,866,9785,120000,116400,208.2,,,93300,94000,55.8,1/1/2016,61.16,154.46,192.45,-192.45,89.25,112.4
Washington,9874,1332048,932,9684,121500,119700,220.4,,,93600,94200,61.7,1/1/2017,62.21,161.3,208.14,-208.14,102.67,118
